cross,mode,mean_INDEX,sd_INDEX,p95_INDEX,index_score
CULT_013 x CULT_050,F2,-4.418687638008123e-16,0.4930678235868681,0.8383849195514853,0.4930678235868677
CULT_065 x CULT_076,F2,8.548717289613706e-16,0.4926512841882658,0.83658310222094,0.49265128418826665
CULT_063 x CULT_050,F2,2.5017025488220195e-16,0.482667421766764,0.8291610017146029,0.4826674217667643
CULT_188 x CULT_076,F2,-2.4017824766057556e-16,0.4858267324660269,0.8280902896407448,0.4858267324660267
CULT_063 x CULT_188,F2,-8.393286066166183e-16,0.48454293897483425,0.8259874315110638,0.4845429389748334
CULT_013 x CULT_144,F2,-1.1220654035544916e-15,0.4913111232043296,0.8229089664924899,0.4913111232043285
CULT_277 x CULT_076,F2,-8.815170815523743e-16,0.48643268557190983,0.821072480642,0.48643268557190894
CULT_144 x CULT_060,F2,-6.283862319378386e-16,0.48784436175476714,0.8164495376066601,0.48784436175476653
CULT_277 x CULT_188,F2,-3.789561257387201e-16,0.48547721820522494,0.8149434542610223,0.48547721820522455
CULT_144 x CULT_038,F2,9.784765590363045e-16,0.48225886417031155,0.813507248577125,0.48225886417031255
CULT_038 x CULT_076,F2,-8.422892013489521e-16,0.4879978973511653,0.8068079071746045,0.48799789735116444
CULT_063 x CULT_038,F2,-6.898185726337639e-16,0.48196675893806507,0.8040321685177778,0.4819667589380644
CULT_050 x CULT_277,F2,6.661338147750939e-16,0.4754127980254778,0.8012725350304444,0.4754127980254785
CULT_063 x CULT_065,F2,4.996003610813204e-16,0.4869851520612387,0.7980164419640886,0.4869851520612392
CULT_076 x CULT_060,F2,2.0457709600426217e-15,0.49068689954280564,0.7975190172882455,0.4906868995428077
CULT_144 x CULT_076,F2,1.2138438402568377e-16,0.5059431687271454,0.7974904776538343,0.5059431687271455
CULT_013 x CULT_060,F2,2.7237471537470505e-16,0.4809159044194601,0.7973875681180814,0.48091590441946036
CULT_050 x CULT_076,F2,-9.703349235223868e-16,0.48227271967908836,0.7973541651891106,0.4822727196790874
CULT_013 x CULT_065,F2,-1.1971904948874605e-15,0.4855379915934253,0.7971380943375851,0.4855379915934241
CULT_013 x CULT_277,F2,-1.7245464315844098e-15,0.47582073257456386,0.7968993340299081,0.47582073257456214
CULT_013 x CULT_038,F2,1.2449300849463422e-15,0.48101823899281754,0.7960442584022819,0.48101823899281876
CULT_065 x CULT_188,F2,-4.929390229335695e-16,0.4845970294823317,0.7953530921354103,0.4845970294823312
CULT_144 x CULT_065,F2,1.887379141862766e-16,0.47172619154212747,0.7932629210157607,0.47172619154212764
CULT_050 x CULT_065,F2,8.215650382226159e-16,0.47742226731448784,0.7913292750517105,0.47742226731448867
CULT_063 x CULT_277,F2,2.516505522483688e-17,0.4754743576573664,0.7888413286722579,0.4754743576573664
CULT_013 x CULT_188,F2,3.4120854290146477e-16,0.47087778053676105,0.788170193057957,0.4708777805367614
CULT_063 x CULT_076,F2,-1.0510111299784815e-15,0.47278352260931283,0.7864225773003246,0.4727835226093118
CULT_038 x CULT_065,F2,-2.19824158875781e-16,0.4808019333009633,0.7850276064148178,0.4808019333009631
CULT_038 x CULT_188,F2,-1.6916098151871968e-15,0.4911868197346188,0.7830063749229877,0.49118681973461714
CULT_038 x CULT_060,F2,-1.3840780373660285e-15,0.4788005895582475,0.7818606012124687,0.4788005895582461
CULT_013 x CULT_076,F2,4.722148598072332e-16,0.48409100351434575,0.7817971505543667,0.48409100351434625
CULT_013 x CULT_063,F2,9.636735853746358e-16,0.482640830051205,0.7793382785905733,0.48264083005120595
CULT_050 x CULT_038,F2,-1.1205851061883247e-15,0.49030773284248336,0.775573914492778,0.49030773284248225
CULT_063 x CULT_144,F2,-9.91059086648723e-16,0.47778021978171226,0.7749330456451657,0.47778021978171126
CULT_277 x CULT_144,F2,8.981704269217516e-16,0.49170841460326564,0.7730457872498346,0.49170841460326653
CULT_065 x CULT_060,F2,-1.2234657731369225e-15,0.48770815065813167,0.7728619183928618,0.48770815065813045
CULT_277 x CULT_060,F2,-7.963999829977789e-16,0.47576886770723353,0.7710954051841317,0.47576886770723276
CULT_050 x CULT_144,F2,1.1250259982868252e-15,0.4781120670423952,0.7679701987463291,0.4781120670423963
CULT_050 x CULT_188,F2,4.574118861455645e-16,0.4802061256408189,0.7651962025207629,0.4802061256408193
CULT_277 x CULT_038,F2,4.263256414560601e-16,0.48529193670602655,0.7645761917540413,0.485291936706027
CULT_144 x CULT_188,F2,1.5232259897857148e-15,0.4858550312006793,0.7588995313874857,0.4858550312006808
CULT_277 x CULT_065,F2,-8.474702421305361e-17,0.4649550089899447,0.7577133720913338,0.4649550089899446
CULT_188 x CULT_060,F2,-1.1235457009206583e-15,0.47623177211501505,0.75037715219929,0.47623177211501394
CULT_063 x CULT_060,F2,1.021405182655144e-16,0.47927033295066357,0.7459867546008975,0.4792703329506637
CULT_050 x CULT_060,F2,7.275661554710193e-16,0.4643636141528411,0.7349962545056354,0.46436361415284183
